,trdwk,mkt_rf,smb,hml,umd,rf
709,2008-03-28,-0.034139887,-0.000868881,-0.011355007,0.0014778619,0.00078
710,2008-04-04,-0.118953246,-0.059463549,-0.013799623,0.0201881429,0.00078
711,2008-04-11,0.0578282401,0.0122677311,0.0070632883,0.0072656686,0.00078
712,2008-04-18,-0.147687127,0.0042779758,-0.01492005,0.0139961557,0.00078
713,2008-04-25,0.1352671932,-0.034166959,0.0205653984,-0.016400221,0.00078
714,2008-05-02,0.0407891605,0.0023094083,0.0022536741,-0.000262795,0.00078
715,2008-05-09,0.0077593722,0.0305517003,-0.009479371,0.0181914781,0.00078
716,2008-05-16,0.0170923696,0.0043415573,0.0144043924,-0.019061203,0.00078
717,2008-05-23,-0.064306187,0.0100068502,0.0222608423,-0.003055788,0.00078
718,2008-05-30,-0.020197769,-0.002775118,-0.005783937,-0.017782978,0.00078
719,2008-06-06,-0.033561061,0.0096250043,-0.010820282,-0.034284386,0.00078
720,2008-06-13,-0.154842214,-0.004295562,-0.013793264,0.0339013549,0.00078
721,2008-06-20,-0.071026682,-0.033302313,-0.008166979,0.0178319284,0.00078
722,2008-06-27,-0.002425434,0.0067330122,-0.014637395,-0.002874322,0.00078
723,2008-07-04,0.0216902615,0.0208763936,0.0005107603,-0.003053085,0.00078
724,2008-07-11,0.0710922136,0.0078502933,-0.003568926,-0.040452568,0.00078
725,2008-07-18,-0.040780957,0.0122325521,0.0070802586,0.0352042083,0.00078
726,2008-07-25,0.0427262562,0.0305820468,0.0013821859,-0.032655878,0.00078
727,2008-08-01,-0.037034843,0.0148629225,0.004715161,-0.00410875,0.00078
728,2008-08-08,-0.106569965,-0.006029953,-0.009642927,0.0191779715,0.00078
729,2008-08-15,-0.072636349,-0.031718254,0.0037135441,0.0111811883,0.00078
730,2008-08-22,-0.037698578,0.0063897782,0.0072907273,-0.02250295,0.00078
731,2008-08-29,-0.028919161,0.007476339,0.018876128,-0.033517308,0.00078
732,2008-09-05,-0.072734823,0.0110094552,0.0285695486,-0.025509374,0.00078
733,2008-09-12,-0.047146849,-0.009092138,0.0230740101,-0.004764858,0.00078
734,2008-09-19,0.0326858573,-0.028244989,-0.003727034,0.0280759913,0.00078
735,2008-09-26,0.0500871629,-0.053870272,0.0002117051,-0.034191216,0.00078
736,2008-10-10,-0.143068363,0.0060666751,0.0144932467,0.0444974717,0.00073
737,2008-10-17,-0.061212389,0.0059051309,0.0203944488,-0.03074912,0.00073
738,2008-10-24,-0.007903928,0.0234508331,-0.016261672,0.0116093459,0.00073
739,2008-10-31,-0.092247299,-0.007702088,-0.003071938,-0.002270015,0.00068
740,2008-11-07,-0.003532424,0.0206318294,0.0257935305,-0.005338272,0.00068
741,2008-11-14,0.1876305697,0.0103108093,-0.010852095,-0.083260609,0.00068
742,2008-11-21,0.0142795091,0.0115278888,-0.007573844,0.0211870427,0.00068
743,2008-11-28,-0.031602089,-0.000686151,-0.005103144,0.0210710718,0.000479
744,2008-12-05,0.1129609652,0.031336931,-0.012481782,-0.048139591,0.000479
745,2008-12-12,-0.033687584,0.0063626713,-0.011365105,-0.003196388,0.000479
746,2008-12-19,0.0587729467,0.0270147539,-0.014927163,-0.001039208,0.000479
747,2008-12-26,-0.0952583,0.0143276379,-0.020114186,0.0139914876,0.000428
748,2009-01-02,-0.021378189,-0.004120721,-0.006134954,0.0308689325,0.000428
749,2009-01-09,0.0730386123,0.0253335241,0.001926108,-0.06272471,0.000428
750,2009-01-16,0.0331132784,0.0058016709,0.0052078264,-0.042672495,0.000428
751,2009-01-23,0.0191816026,-0.004996232,-0.003771534,-0.027515154,0.000428
752,2009-02-06,0.1040598071,0.0157937606,0.003361709,-0.05776195,0.000428
753,2009-02-13,0.1029104747,0.0187422149,0.0025287295,-0.036518739,0.000428
